Sample,Time_us,Raw_u16,Voltage_V
244,244008,34744,1.749526
245,245012,46747,2.353934
246,246008,53533,2.695642
247,247012,52492,2.643222
248,248009,44202,2.225782
249,249008,31591,1.590758
250,250013,19556,0.984738
251,251009,12739,0.641469
252,252013,13747,0.692227
253,253009,22053,1.110474
254,254013,34680,1.746303
255,255010,46555,2.344266
256,256014,53437,2.690808
257,257013,52428,2.640000
258,258009,44058,2.218530
259,259013,31399,1.581090
260,260010,19444,0.979098
261,261014,12563,0.632607
262,262010,13747,0.692227
263,263014,22021,1.108862
264,264010,34728,1.748720
265,265011,46603,2.346684
266,266009,53405,2.689196
267,267013,52492,2.643222
268,268009,44154,2.223364
269,269013,31527,1.587535
270,270010,19572,0.985544
271,271014,12771,0.643081
272,272010,13779,0.693838
273,273011,22101,1.112891
274,274009,34648,1.744692
275,275013,46619,2.347489
276,276009,53533,2.695642
277,277013,52476,2.642417
278,278010,44122,2.221753
279,279014,31511,1.586729
280,280010,19572,0.985544
281,281012,12739,0.641469
282,282011,13731,0.691421
283,283008,21989,1.107251
284,284012,34664,1.745498
285,285008,46555,2.344266
286,286012,53357,2.686780
287,287008,52460,2.641611
288,288012,44074,2.219336
289,289013,31383,1.580284
290,290012,19412,0.977487
291,291009,12611,0.635024
292,292013,13651,0.687393
293,293009,21861,1.100806
294,294013,34568,1.740664
295,295010,46699,2.351518
296,296014,53533,2.695642
297,297008,52524,2.644834
298,298012,44122,2.221753
299,299009,31559,1.589146
300,300013,19556,0.984738
301,301009,12739,0.641469
302,302013,13747,0.692227
303,303009,22085,1.112085
304,304013,34728,1.748720
305,305015,46667,2.349906
306,306014,53405,2.689196
307,307010,52444,2.640806
308,308014,44074,2.219336
309,309011,31495,1.585924
310,310015,19540,0.983932
311,311011,12755,0.642275
312,312015,13683,0.689004
313,313009,22021,1.108862
314,314013,34696,1.747109
315,315010,46507,2.341849
316,316014,53421,2.690002
317,317010,52460,2.641611
318,318014,44090,2.220142
319,319011,31479,1.585118
320,320015,19508,0.982321
321,321009,12707,0.639858
322,322013,13603,0.684976
323,323010,22037,1.109668
324,324014,34600,1.742275
325,325010,46731,2.353129
326,326014,53341,2.685974
327,327010,52364,2.636777
